lapsed,age,sex,region,nregions,memtype,memmonths,mem_mag1,mem_mag2,hasemail,r1,r2,r3,r.quick,extra,intl,r.intl,allgames1yr,allgames5yr,fastevents,medevents,slowevents,nfloor
Y,11,M,reg112,1,N,19,N,N,N,NA,NA,NA,NA,N,N,NA,0,0,0,0,0,0
N,61,M,reg112,1,N,198,Y,N,Y,2178,2215,2291,2932,Y,N,NA,4,29,1,0,10,0
Y,16,F,reg112,1,N,192,N,N,Y,627,628,1362,2007,N,N,NA,29,29,0,4,1,0
Y,47,M,reg112,1,N,268,Y,N,Y,2600,2601,2602,NA,N,N,NA,0,0,0,0,0,0
Y,11,F,reg112,1,N,101,N,N,N,464,466,958,1356,N,N,NA,12,35,0,8,0,0
N,10,F,reg109,1,N,22,N,N,Y,NA,NA,648,917,N,N,NA,7,7,0,2,0,0
N,80,M,reg128,2,N,449,Y,N,Y,2777,2778,2779,3870,N,N,NA,0,0,0,0,0,0
N,9,M,reg133,1,N,30,N,N,Y,NA,NA,965,1358,N,N,NA,4,4,0,1,0,0
Y,12,M,reg102,1,N,124,N,N,Y,1656,1594,2004,2802,N,N,NA,45,139,0,35,2,0
Y,59,M,reg111,1,N,193,Y,N,Y,2092,2095,2098,2703,Y,N,NA,13,72,4,4,18,0
Y,13,M,reg150,1,N,20,N,N,Y,NA,NA,NA,NA,N,N,NA,3,3,0,1,0,0
N,65,M,reg132,1,N,277,Y,N,Y,3342,3337,3334,4454,N,Y,NA,0,12,0,0,3,0
Y,29,M,reg147,1,N,2,Y,N,Y,NA,NA,NA,NA,N,N,NA,0,0,0,0,0,0
N,13,M,reg102,1,N,134,N,N,Y,2069,2373,2635,3631,N,N,NA,96,471,2,107,7,2
Y,15,M,reg127,1,N,193,N,N,Y,2859,3197,3136,3596,N,Y,NA,22,191,0,16,23,0
Y,8,F,reg112,1,N,23,N,N,N,NA,NA,333,343,N,N,NA,34,34,0,7,1,0
N,10,M,reg114,1,N,47,N,N,Y,NA,682,1205,1794,N,N,NA,16,41,0,11,0,0
Y,13,M,reg114,1,N,65,N,N,Y,188,829,771,886,N,N,NA,0,22,2,4,1,0
Y,13,F,reg145,1,F,17,N,N,N,NA,NA,NA,NA,N,N,NA,0,0,0,0,0,0
N,50,M,reg102,1,N,200,Y,N,Y,NA,NA,NA,NA,N,N,NA,0,0,0,0,0,0
Y,17,M,reg105,1,N,45,Y,N,Y,NA,1764,2066,2480,N,N,NA,29,48,0,7,3,0
N,9,F,reg102,1,N,38,N,Y,Y,NA,239,369,495,N,N,NA,8,17,0,3,1,0
Y,8,M,reg106,1,N,6,N,N,N,NA,NA,189,269,N,N,NA,4,4,0,1,0,0
N,45,M,reg108,1,F,4,Y,N,Y,NA,NA,1843,2498,N,N,NA,4,4,0,1,0,0
N,10,M,reg147,1,N,80,N,N,Y,1169,1872,2258,3456,N,Y,NA,69,175,35,16,39,0
Y,22,M,reg127,1,N,449,N,N,N,2092,2096,2635,3044,N,N,NA,26,26,0,2,4,0
Y,53,M,reg128,1,N,64,Y,N,Y,NA,NA,NA,NA,N,N,NA,0,0,0,0,0,0
N,16,M,reg112,1,N,269,Y,N,Y,3188,3540,3626,4786,N,Y,3496,67,485,3,113,28,0
Y,8,F,reg127,1,N,21,N,N,N,NA,NA,NA,NA,N,N,NA,0,0,0,0,0,0
